time,value
0:00:41.616000,0.404262
0:00:41.639000,0.405890
0:00:41.662000,0.406170
0:00:41.686000,0.406207
0:00:41.709000,0.406109
0:00:41.734000,0.406342
0:00:41.756000,0.405881
0:00:41.779000,0.404402
0:00:41.801000,0.407305
0:00:41.824000,0.413586
0:00:41.847000,0.404769
0:00:41.869000,0.406114
0:00:41.894000,0.406439
0:00:41.915000,0.406081
0:00:41.937000,0.404504
0:00:41.963000,0.405598
0:00:41.985000,0.404616
0:00:42.007000,0.404588
0:00:42.032000,0.405970
0:00:42.055000,0.407682
0:00:42.076000,0.406165
0:00:42.098000,0.406003
0:00:42.122000,0.406081
0:00:42.144000,0.405705
0:00:42.166000,0.404699
0:00:42.188000,0.404802
0:00:42.209000,0.404518
0:00:42.230000,0.405914
0:00:42.252000,0.406756
0:00:42.275000,0.406891
0:00:42.298000,0.406040
0:00:42.322000,0.405397
0:00:42.349000,0.404276
0:00:42.371000,0.404849
0:00:42.396000,0.404732
0:00:42.426000,0.405993
0:00:42.449000,0.405812
0:00:42.471000,0.406714
0:00:42.495000,0.406286
0:00:42.522000,0.404165
0:00:42.545000,0.405323
0:00:42.568000,0.404741
0:00:42.590000,0.404620
0:00:42.612000,0.425119
0:00:42.634000,0.405974
0:00:42.659000,0.406421
0:00:42.681000,0.406053
0:00:42.702000,0.406076
0:00:42.725000,0.417177
0:00:42.749000,0.404793
0:00:42.772000,0.404853
0:00:42.798000,0.404769
0:00:42.821000,0.408110
0:00:42.843000,0.406193
0:00:42.865000,0.405230
0:00:42.889000,0.405425
0:00:42.912000,0.406431
0:00:42.934000,0.405932
0:00:42.956000,0.405695
0:00:42.980000,0.404630
0:00:43.003000,0.404472
0:00:43.027000,0.404597
0:00:43.048000,0.406924
0:00:43.070000,0.405305
0:00:43.093000,0.406389
0:00:43.115000,0.406049
0:00:43.137000,0.406054
0:00:43.159000,0.406081
0:00:43.183000,0.405676
0:00:43.208000,0.404486
0:00:43.230000,0.405462
0:00:43.253000,0.404709
0:00:43.277000,0.406417
0:00:43.298000,0.406039
0:00:43.320000,0.406319
0:00:43.344000,0.405756
0:00:43.365000,0.405918
0:00:43.387000,0.406300
0:00:43.411000,0.405658
0:00:43.436000,0.406216
0:00:43.461000,0.406281
0:00:43.485000,0.406244
0:00:43.508000,0.406174
0:00:43.530000,0.405923
0:00:43.553000,0.405146
0:00:43.577000,0.404611
0:00:43.599000,0.404844
0:00:43.623000,0.409873
0:00:43.649000,0.406435
0:00:43.672000,0.406272
0:00:43.694000,0.405877
0:00:43.717000,0.406035
0:00:43.741000,0.405472
0:00:43.763000,0.404430
0:00:43.785000,0.404174
0:00:43.809000,0.405653
0:00:43.832000,0.406202
0:00:43.854000,0.405835
0:00:43.880000,0.406286
0:00:43.902000,0.405765
0:00:43.926000,0.405989
0:00:43.949000,0.406035
0:00:43.971000,0.405710
0:00:43.994000,0.404774
0:00:44.015000,0.404505
0:00:44.041000,0.404108
0:00:44.064000,0.405900
0:00:44.087000,0.406454
0:00:44.110000,0.406565
0:00:44.133000,0.406235
0:00:44.154000,0.406788
0:00:44.179000,0.405956
0:00:44.200000,0.407044
0:00:44.223000,0.405886
0:00:44.246000,0.405663
0:00:44.271000,0.406118
0:00:44.294000,0.405760
0:00:44.317000,0.405277
0:00:44.343000,0.404802
0:00:44.365000,0.404165
0:00:44.388000,0.406361
0:00:44.413000,0.406068
0:00:44.439000,0.406170
0:00:44.469000,0.406398
0:00:44.493000,0.405919
0:00:44.514000,0.404476
0:00:44.538000,0.404919
0:00:44.561000,0.404639
0:00:44.584000,0.404258
0:00:44.606000,0.405919
0:00:44.627000,0.406077
0:00:44.651000,0.406658
0:00:44.673000,0.405998
0:00:44.696000,0.406011
0:00:44.720000,0.405448
0:00:44.743000,0.404815
0:00:44.764000,0.404658
0:00:44.787000,0.405272
0:00:44.811000,0.406477
0:00:44.833000,0.406379
0:00:44.854000,0.406910
0:00:44.877000,0.405840
0:00:44.902000,0.406654
0:00:44.924000,0.406160
0:00:44.947000,0.405332
0:00:44.971000,0.407240
0:00:44.993000,0.404500
0:00:45.015000,0.404560
0:00:45.039000,0.407375
0:00:45.062000,0.406756
0:00:45.086000,0.406281
0:00:45.108000,0.406207
0:00:45.131000,0.405695
0:00:45.153000,0.406598
0:00:45.176000,0.405872
0:00:45.199000,0.405983
0:00:45.220000,0.407672
0:00:45.245000,0.406193
0:00:45.266000,0.404550
0:00:45.288000,0.405379
0:00:45.312000,0.404565
0:00:45.336000,0.405979
0:00:45.359000,0.406021
0:00:45.381000,0.406719
0:00:45.405000,0.406286
0:00:45.430000,0.406365
0:00:45.454000,0.406375
0:00:45.479000,0.406161
0:00:45.502000,0.405854
0:00:45.524000,0.404765
0:00:45.547000,0.404448
0:00:45.571000,0.405663
0:00:45.592000,0.405426
0:00:45.617000,0.406356
0:00:45.641000,0.406574
0:00:45.663000,0.405905
0:00:45.684000,0.404816
0:00:45.708000,0.404537
0:00:45.732000,0.409194
0:00:45.754000,0.408143
0:00:45.776000,0.405788
0:00:45.801000,0.406217
0:00:45.824000,0.406714
0:00:45.851000,0.406072
0:00:45.875000,0.405853
0:00:45.897000,0.405514
0:00:45.920000,0.405881
0:00:45.950000,0.406170
0:00:45.972000,0.404411
0:00:45.994000,0.404504
0:00:46.017000,0.404737
0:00:46.039000,0.405988
0:00:46.063000,0.406905
0:00:46.089000,0.406407
0:00:46.110000,0.406421
0:00:46.132000,0.406170
0:00:46.156000,0.405653
0:00:46.180000,0.405863
0:00:46.203000,0.406007
0:00:46.225000,0.405751
0:00:46.249000,0.404007
0:00:46.271000,0.407231
0:00:46.293000,0.404560
0:00:46.316000,0.405979
0:00:46.341000,0.414056
0:00:46.363000,0.405988
0:00:46.384000,0.406072
0:00:46.409000,0.406095
0:00:46.432000,0.406491
0:00:46.460000,0.405570
0:00:46.484000,0.405975
0:00:46.507000,0.406272
0:00:46.529000,0.404332
0:00:46.555000,0.404965
0:00:46.578000,0.405295
0:00:46.600000,0.406351
0:00:46.623000,0.412009
0:00:46.647000,0.406114
0:00:46.668000,0.406217
0:00:46.691000,0.406095
0:00:46.715000,0.406211
0:00:46.737000,0.404881
0:00:46.760000,0.406221
0:00:46.782000,0.405179
0:00:46.805000,0.405174
0:00:46.828000,0.404467
0:00:46.850000,0.406012
0:00:46.874000,0.405970
0:00:46.895000,0.405947
0:00:46.918000,0.405612
0:00:46.943000,0.406231
0:00:46.965000,0.406221
0:00:46.986000,0.404872
0:00:47.010000,0.405504
0:00:47.035000,0.404500
0:00:47.057000,0.412344
0:00:47.080000,0.405863
0:00:47.104000,0.406383
0:00:47.125000,0.406012
0:00:47.148000,0.407138
0:00:47.172000,0.405891
0:00:47.194000,0.405909
0:00:47.217000,0.404188
0:00:47.242000,0.404880
0:00:47.263000,0.404574
0:00:47.284000,0.405686
0:00:47.307000,0.405923
0:00:47.329000,0.406100
0:00:47.352000,0.406081
0:00:47.375000,0.406202
0:00:47.399000,0.405746
0:00:47.423000,0.406360
